name,number,location,manufacturer,updated_location,round
BENTLEY TONDU,#112,"Edgerton, AB",Honda,Alberta,
ALEX TREMBLAY,#120,"Stnazairelacstjean, QC",Yamaha,Quebec,
JORDANNE TROTTIER,#26,"Saint-Stanislas-de-C, QC",Yamaha,Quebec,
LILLY TURNER,#753,"PICKERING, ON",KTM,Ontario,
ZACH UFIMZEFF,#40,"LakeCountry, BR",Honda,British Columbia,
SETH UNRAU,#277,"STANLEY, MB",Yamaha,Manitoba,
LARS VANBERKEL,#107,"Hanover, ON",Honda,Ontario,
LUKE VANLYSSEL,#285,"Fremont, WI",Yamaha,Wisconsin,
ASHTON VICKERS,#909,"grovespoint, NO",Yamaha,Nova Scotia,
NOAH VINEY,#73,"Murrieta, ON",Honda,Ontario,
ROBBIE WAGEMEN,#64,",",Stark,California,
DYLAN WALSH,#54,"CHRISTCHURCH, NZ",Kawasaki,New Zealand,
TANNER WARD,#84,"Woodstock, ON",Gas Gas,Ontario,
REGAN WEENK,#928,"LETHBRIDGE, AB",KTM,Alberta,
ALEX WHITE,#659,"OldOrchardBeach, ME",KTM,Maine,
DANIKA WHITE,#25,"Calgary, AB",Husqvarna,Alberta,
JASON WHITE,#884,"Killingworth, CT",KTM,Connecticut,
NYKEA WILLIAAMS,#33,",",Yamaha,Vermont,
MICHAEL WILLIAMS,#151,"Greenfield, MA",Husqvarna,Massachusetts,
PRESTON WITTKOPP,#540,"Longview, WA",Kawasaki,Washington,
DYLAN WRIGHT,#9,"Drummondville, QC",Honda,Quebec,
JOSH WRIGHT,#992,"Frankford, ON",Yamaha,Ontario,
BRETT YOUNG,#150,"LAWRENCETOWN,",Triumph,Nova Scotia,
MATT YOUNG,#811,"Nanaimo, BR",Husqvarna,British Columbia,
AARON ZIELFELDER,#72,"Farmington, NE",KTM,New York,
